date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:48	69579/69579	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-10fcb%22	https://templates.hibootstrap.com/sanu/default/assets/images/news/news-7.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/news/news-7.jpg	(from https://templates.hibootstrap.com/sanu/default/latest-news.html)
15:46:48	5434/5434	---M--	200	added ('OK')	image/png	etag:%2266496def-16f6%22	https://templates.hibootstrap.com/sanu/default/assets/images/courses/review-1.png	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/courses/review-1.png	(from https://templates.hibootstrap.com/sanu/default/news-details.html)
15:46:49	5314/5314	---M--	200	added ('OK')	image/png	etag:%2266496def-17e6%22	https://templates.hibootstrap.com/sanu/default/assets/images/courses/review-2.png	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/courses/review-2.png	(from https://templates.hibootstrap.com/sanu/default/news-details.html)
15:46:50	169657/169657	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-296b9%22	https://templates.hibootstrap.com/sanu/default/assets/images/faq-img.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/faq-img.jpg	(from https://templates.hibootstrap.com/sanu/default/faq.html)
15:46:50	66144/66144	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-10268%22	https://templates.hibootstrap.com/sanu/default/assets/images/courses/courses-4.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/courses/courses-4.jpg	(from https://templates.hibootstrap.com/sanu/default/courses-details.html)
15:46:51	61248/61248	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-ef48%22	https://templates.hibootstrap.com/sanu/default/assets/images/courses/instructor.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/courses/instructor.jpg	(from https://templates.hibootstrap.com/sanu/default/courses-details.html)
15:46:51	162136/162136	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-27958%22	https://templates.hibootstrap.com/sanu/default/assets/images/health-care/health-care-8.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/health-care/health-care-8.jpg	(from https://templates.hibootstrap.com/sanu/default/health-care.html)
15:46:52	114738/114738	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-1c032%22	https://templates.hibootstrap.com/sanu/default/assets/images/health-care/health-care-9.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/health-care/health-care-9.jpg	(from https://templates.hibootstrap.com/sanu/default/health-care.html)
15:46:53	112818/112818	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-1b8b2%22	https://templates.hibootstrap.com/sanu/default/assets/images/health-care/health-care-10.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/health-care/health-care-10.jpg	(from https://templates.hibootstrap.com/sanu/default/health-care.html)
15:46:53	65474/65474	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-ffc2%22	https://templates.hibootstrap.com/sanu/default/assets/images/health-care/health-care-11.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/health-care/health-care-11.jpg	(from https://templates.hibootstrap.com/sanu/default/health-care-details.html)
15:46:54	230698/230698	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-38532%22	https://templates.hibootstrap.com/sanu/default/assets/images/events/events-4.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/events/events-4.jpg	(from https://templates.hibootstrap.com/sanu/default/events.html)
15:46:54	58773/58773	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-e59d%22	https://templates.hibootstrap.com/sanu/default/assets/images/events/events-5.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/events/events-5.jpg	(from https://templates.hibootstrap.com/sanu/default/events.html)
15:46:54	261553/261553	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-3fdb9%22	https://templates.hibootstrap.com/sanu/default/assets/images/events/events-6.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/events/events-6.jpg	(from https://templates.hibootstrap.com/sanu/default/events.html)
15:46:55	134581/134581	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-20db5%22	https://templates.hibootstrap.com/sanu/default/assets/images/events/events-7.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/events/events-7.jpg	(from https://templates.hibootstrap.com/sanu/default/events-details.html)
15:46:56	64175/64175	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-faaf%22	https://templates.hibootstrap.com/sanu/default/assets/images/events/events-8.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/events/events-8.jpg	(from https://templates.hibootstrap.com/sanu/default/events-details.html)
